T.V Remote:
on/off
OFF		ON
7976 usec, 4400 usec
4400 usec, 600 usec
1640 usec, 600 usec
1600 usec, 620 usec
1600 usec, 620 usec
600 usec, 580 usec
620 usec, 560 usec
620 usec, 580 usec
600 usec, 580 usec
600 usec, 580 usec
1660 usec, 580 usec
1640 usec, 580 usec
1620 usec, 600 usec
580 usec, 620 usec
600 usec, 580 usec
600 usec, 580 usec
620 usec, 560 usec
620 usec, 580 usec
600 usec, 580 usec
1640 usec, 580 usec
620 usec, 580 usec
600 usec, 580 usec
600 usec, 600 usec
600 usec, 580 usec
600 usec, 580 usec
600 usec, 580 usec
1660 usec, 580 usec
600 usec, 580 usec
1640 usec, 580 usec
1620 usec, 600 usec
1620 usec, 620 usec
1600 usec, 620 usec
1600 usec, 660 usec
1580 usec, 640 usec
43760 usec, 4420 usec
4340 usec, 600 usec
600 usec, 580 usec
29884 usec, 4400 usec
4360 usec, 600 usec
600 usec, 600 usec

volume up
OFF 	ON
22512 usec, 4380 usec
4400 usec, 620 usec
1600 usec, 620 usec
1600 usec, 620 usec
1620 usec, 600 usec
600 usec, 580 usec
620 usec, 580 usec
600 usec, 580 usec
600 usec, 600 usec
600 usec, 580 usec
1620 usec, 600 usec
1620 usec, 600 usec
1620 usec, 600 usec
620 usec, 580 usec
600 usec, 580 usec
600 usec, 580 usec
620 usec, 580 usec
600 usec, 580 usec
1620 usec, 620 usec
1600 usec, 620 usec
1600 usec, 620 usec
600 usec, 580 usec
600 usec, 600 usec
600 usec, 580 usec
600 usec, 580 usec
600 usec, 580 usec
620 usec, 580 usec
600 usec, 580 usec
600 usec, 580 usec
1620 usec, 600 usec
1640 usec, 600 usec
1620 usec, 600 usec
1620 usec, 600 usec
1620 usec, 620 usec
43780 usec, 4400 usec
4360 usec, 620 usec
600 usec, 580 usec
29864 usec, 4400 usec
4360 usec, 620 usec
600 usec, 580 usec

volume down
OFF 	ON
19628 usec, 4400 usec
4400 usec, 600 usec
1600 usec, 620 usec
1620 usec, 600 usec
1620 usec, 600 usec
620 usec, 580 usec
600 usec, 580 usec
600 usec, 580 usec
620 usec, 580 usec
600 usec, 580 usec
1620 usec, 600 usec
1620 usec, 620 usec
1600 usec, 620 usec
600 usec, 580 usec
600 usec, 580 usec
620 usec, 580 usec
600 usec, 580 usec
600 usec, 580 usec
1620 usec, 600 usec
1620 usec, 620 usec
600 usec, 580 usec
1620 usec, 620 usec
600 usec, 580 usec
600 usec, 580 usec
600 usec, 600 usec
600 usec, 580 usec
600 usec, 580 usec
600 usec, 600 usec
1600 usec, 600 usec
620 usec, 580 usec
1620 usec, 600 usec
1620 usec, 620 usec
1600 usec, 620 usec
1600 usec, 620 usec
43780 usec, 4400 usec
4360 usec, 620 usec
600 usec, 580 usec
29864 usec, 4400 usec
4360 usec, 620 usec
600 usec, 580 usec

mute
OFF 	ON
11788 usec, 4400 usec
4380 usec, 620 usec
1640 usec, 580 usec
1620 usec, 600 usec
1620 usec, 620 usec
600 usec, 580 usec
600 usec, 600 usec
580 usec, 600 usec
580 usec, 600 usec
600 usec, 580 usec
1660 usec, 580 usec
1620 usec, 600 usec
1640 usec, 580 usec
580 usec, 600 usec
620 usec, 560 usec
620 usec, 580 usec
580 usec, 600 usec
600 usec, 600 usec
1640 usec, 580 usec
1640 usec, 580 usec
1620 usec, 600 usec
1640 usec, 600 usec
560 usec, 620 usec
600 usec, 580 usec
580 usec, 600 usec
580 usec, 620 usec
600 usec, 580 usec
600 usec, 580 usec
620 usec, 580 usec
600 usec, 580 usec
1640 usec, 600 usec
1620 usec, 580 usec
1660 usec, 560 usec
1640 usec, 600 usec
43780 usec, 4420 usec
4360 usec, 600 usec
600 usec, 580 usec

FAN:
on/off
OFF 	ON
38664 usec, 8880 usec
4340 usec, 580 usec
1620 usec, 580 usec
520 usec, 580 usec 
560 usec, 520 usec 
560 usec, 560 usec 
540 usec, 560 usec 
540 usec, 540 usec 
540 usec, 560 usec 
540 usec, 560 usec 
560 usec, 520 usec 
1640 usec, 580 usec
1600 usec, 600 usec
1620 usec, 560 usec
1640 usec, 580 usec
1600 usec, 580 usec
1640 usec, 560 usec
1640 usec, 580 usec
